movie_id,title,genre,rating,budget_million,gross_million,director,lead_actor,release_year
69,Movie 69,Thriller,6.2,150,80,,Actor E,2022
70,Movie 70,Sci-Fi,7.5,60,600,Tarantino,Actor D,2017
71,Movie 71,Sci-Fi,7.9,150,150,Nolan,Actor C,2016
72,Movie 72,Romance,9.1,100,20,Scorsese,Actor B,
73,Movie 73,Comedy,3.6,150,150,,Actor C,2019
74,Movie 74,Romance,7.8,100,150,Spielberg,Actor D,2017
75,Movie 74,Thriller,8.3,150,150,Rajamouli,,2016
76,Movie 76,Comedy,,30,,Spielberg,Actor A,2016
77,Movie 77,Fantasy,9,30,80,Cameron,Actor C,2017
78,Movie 78,Comedy,6.8,100,80,Tarantino,Actor E,2021
79,Movie 79,Drama,9.3,,600,Rajamouli,Actor C,2015
80,Movie 80,Thriller,7.7,10,,Tarantino,Actor E,2017
81,Movie 81,Fantasy,8.8,30,20,Nolan,Actor D,2018
82,Movie 82,Action,7.9,100,80,Spielberg,Actor C,
83,Movie 83,Sci-Fi,7.1,60,80,,,2017
84,Movie 84,Comedy,8.3,30,80,Nolan,,2022
,Movie 85,Horror,5.6,10,150,Nolan,,2018
86,Movie 86,Thriller,6.2,30,600,Nolan,Actor A,2017
87,Movie 87,Fantasy,6.7,,600,Spielberg,Actor D,2016
88,Movie 88,Comedy,9.3,60,20,Rajamouli,Actor D,2016
89,Movie 89,Sci-Fi,4.8,100,600,Nolan,Actor B,2022
90,Movie 90,Romance,7.2,30,300,,Actor B,2019
91,Movie 91,Romance,7.4,10,150,Nolan,Actor C,2017
92,Movie 92,Comedy,8.4,30,,Tarantino,Actor D,2022
93,Movie 93,Action,4.5,,80,Rajamouli,Actor A,2015
94,Movie 94,Comedy,9.1,150,80,Spielberg,Actor C,2015
95,Movie 95,Sci-Fi,,100,300,Tarantino,Actor B,2019
96,Movie 96,Romance,9.4,30,300,Nolan,Actor A,2020
97,Movie 97,Romance,5.1,,,Tarantino,Actor A,2016
98,Movie 98,Sci-Fi,3.6,,20,Spielberg,,2018
99,Movie 99,Fantasy,8.7,10,80,Cameron,Actor D,2020
100,Movie 99,Comedy,6.8,100,80,Tarantino,Actor C,2019
101,Movie 101,Sci-Fi,8.1,60,,Nolan,Actor D,2020
,Movie 102,Sci-Fi,5.1,10,300,Scorsese,Actor E,2020
103,Movie 103,Drama,8,60,80,Scorsese,Actor D,2017
104,Movie 104,Drama,4.9,100,600,Tarantino,,2018
105,Movie 105,Sci-Fi,6.1,,600,Rajamouli,,2016
106,Movie 106,Drama,6.6,100,,,Actor E,2017
107,Movie 107,Drama,3.8,,20,Scorsese,Actor A,2017
108,Movie 108,Drama,4.1,,150,Nolan,Actor D,2017
109,Movie 109,Sci-Fi,8.8,10,,Nolan,Actor B,
110,Movie 110,Comedy,4.8,,20,Rajamouli,Actor A,2022
111,Movie 111,Drama,9.3,10,20,Rajamouli,Actor D,2017
112,Movie 112,Action,8.5,,300,Rajamouli,,2020
113,Movie 113,Fantasy,4.8,60,300,Nolan,Actor B,2022
114,Movie 114,Horror,,30,,Tarantino,Actor A,2016
115,Movie 115,Action,4.8,100,300,Rajamouli,Actor D,2021
116,Movie 116,Sci-Fi,3.9,30,150,,Actor A,2017
117,Movie 117,Comedy,9.2,,80,Spielberg,,
118,Movie 118,Sci-Fi,5.8,60,20,Tarantino,Actor C,2016
,Movie 119,Action,8.6,150,,Tarantino,,2017
120,Movie 120,Horror,3.8,60,150,Tarantino,Actor D,2017
121,Movie 121,Action,7,,20,,Actor A,2015
122,Movie 122,Sci-Fi,7.1,30,150,,,2018
123,Movie 123,Horror,7.5,10,600,Nolan,Actor E,2021
124,Movie 124,Drama,7,100,20,,Actor D,2015
125,Movie 124,Sci-Fi,8.5,60,20,Nolan,Actor A,
126,Movie 126,Action,9.3,60,600,Spielberg,,2020
127,Movie 127,Horror,5.7,,80,Cameron,Actor D,2021
128,Movie 128,Thriller,5.6,60,20,Rajamouli,Actor A,2015
129,Movie 129,Horror,8.4,30,300,Nolan,Actor B,2019
130,Movie 130,Fantasy,7.8,,150,,Actor A,2020
131,Movie 131,Comedy,4,,80,,Actor E,2018
132,Movie 132,Romance,4.4,60,,,Actor C,2018
133,Movie 133,Drama,,10,300,Rajamouli,,
134,Movie 134,Action,9.1,30,600,Spielberg,Actor B,2019
135,Movie 135,Horror,6.3,100,600,,Actor D,2017
,Movie 136,Comedy,7.3,10,,Rajamouli,Actor A,2018
137,Movie 137,Action,7.5,30,,,Actor B,2018
138,Movie 138,Comedy,6.2,100,300,Rajamouli,Actor D,2018
139,Movie 139,Horror,6.9,30,20,Cameron,Actor E,2017
140,Movie 140,Drama,8.7,100,80,Cameron,Actor B,2018
141,Movie 141,Horror,7.6,150,80,Scorsese,Actor A,2022
142,Movie 142,Comedy,6.4,60,,Spielberg,Actor E,
143,Movie 143,Comedy,8.8,30,,Scorsese,Actor A,2016
144,Movie 144,Drama,3.8,150,150,Cameron,Actor A,2021
145,Movie 145,Horror,6.9,10,80,Spielberg,Actor B,
146,Movie 146,Fantasy,5.7,60,80,Tarantino,Actor D,2021
147,Movie 147,Thriller,7.9,10,20,Nolan,Actor E,2022
148,Movie 148,Drama,8.9,10,,Cameron,Actor B,2022
149,Movie 149,Drama,4.4,100,150,Spielberg,Actor D,
150,Movie 149,Fantasy,7.2,10,300,Cameron,Actor D,2018
151,Movie 151,Thriller,7.3,150,,Cameron,Actor A,2017
152,Movie 152,Comedy,,30,20,,Actor E,2017
,Movie 153,Drama,3.6,10,,Cameron,Actor E,2018
154,Movie 154,Fantasy,3.5,60,,Rajamouli,Actor C,2019
155,Movie 155,Fantasy,3.6,60,150,Cameron,Actor B,2016
156,Movie 156,Romance,7.1,,300,,Actor B,2019
157,Movie 157,Drama,6.4,30,80,Nolan,Actor E,2016
158,Movie 158,Horror,4.5,10,300,Cameron,Actor A,2018
159,Movie 159,Romance,6.6,100,600,,Actor C,2017
160,Movie 160,Romance,7.6,60,600,Tarantino,Actor B,2021
161,Movie 161,Fantasy,4.9,60,600,Rajamouli,Actor B,2015
162,Movie 162,Action,4.4,60,300,Nolan,Actor C,2018
163,Movie 163,Drama,6.1,100,600,Nolan,Actor A,2020
164,Movie 164,Romance,7.8,30,,Rajamouli,Actor C,
165,Movie 165,Sci-Fi,5.8,,300,Cameron,,2015
166,Movie 166,Romance,4,,80,Rajamouli,Actor D,
167,Movie 167,Drama,4.5,10,80,Tarantino,Actor E,2015
168,Movie 168,Thriller,3.7,,600,Rajamouli,Actor E,2018
169,Movie 169,Action,4.6,100,80,Scorsese,Actor B,2015
,Movie 170,Drama,5.2,60,20,Tarantino,Actor D,2020
171,Movie 171,Comedy,,30,20,Nolan,Actor C,2020
172,Movie 172,Action,7.1,30,600,Spielberg,Actor C,2015
173,Movie 173,Comedy,6.1,60,20,,Actor A,2017
174,Movie 174,Sci-Fi,4.1,100,600,Cameron,Actor E,
175,Movie 174,Action,7.9,30,80,Nolan,Actor B,
176,Movie 176,Action,6.7,100,20,Scorsese,,
177,Movie 177,Romance,5.9,30,20,Nolan,Actor B,2019
178,Movie 178,Comedy,8.5,150,600,Spielberg,Actor C,2017
179,Movie 179,Drama,7.3,,600,,Actor E,2019
180,Movie 180,Horror,5,60,80,Nolan,Actor C,2017
181,Movie 181,Horror,8.9,,,Spielberg,Actor B,2022
182,Movie 182,Drama,6.1,30,80,Rajamouli,Actor D,2019
183,Movie 183,Thriller,8,100,,Rajamouli,Actor B,2017
184,Movie 184,Sci-Fi,7.7,100,300,,Actor C,2019
185,Movie 185,Thriller,4.8,30,150,Scorsese,Actor B,
186,Movie 186,Horror,8.3,10,20,Scorsese,Actor A,2017
,Movie 187,Sci-Fi,9,60,150,Spielberg,Actor B,2015
188,Movie 188,Fantasy,3.6,100,600,Cameron,Actor C,2020
189,Movie 189,Drama,4,150,150,Cameron,Actor A,2022
190,Movie 190,Action,,,80,Rajamouli,Actor B,2022
191,Movie 191,Romance,7.9,100,,Nolan,Actor D,2022
192,Movie 192,Comedy,7.6,30,150,Rajamouli,Actor C,2016
193,Movie 193,Thriller,8.9,10,300,Spielberg,Actor E,2016
194,Movie 194,Drama,4.3,,20,Scorsese,,
195,Movie 195,Romance,5.3,30,20,Spielberg,Actor E,2020
196,Movie 196,Romance,5.1,30,,,Actor A,2017
197,Movie 197,Sci-Fi,4.9,30,20,Rajamouli,Actor B,2015
198,Movie 198,Fantasy,5.8,,600,,Actor E,2020
199,Movie 199,Drama,8.5,150,300,,Actor C,2017
200,Movie 199,Fantasy,5.5,100,600,Nolan,Actor A,2022
201,Movie 201,Drama,5.6,100,300,Cameron,Actor C,2016
202,Movie 202,Horror,8.8,30,20,Rajamouli,Actor E,2021
203,Movie 203,Comedy,6.1,,600,Scorsese,Actor E,2019
,Movie 204,Thriller,7.3,10,600,,,2016
205,Movie 205,Horror,7.8,60,600,Rajamouli,Actor E,
206,Movie 206,Drama,9.5,150,300,Rajamouli,Actor E,2019
207,Movie 207,Sci-Fi,7,30,80,Tarantino,,2016
208,Movie 208,Horror,4.1,30,80,Cameron,Actor A,
209,Movie 209,Sci-Fi,,150,20,Nolan,Actor E,
210,Movie 210,Comedy,5.3,30,150,Tarantino,,2020
211,Movie 211,Sci-Fi,4.5,30,20,Nolan,Actor A,2022
212,Movie 212,Drama,5.1,100,80,Scorsese,Actor C,2015
213,Movie 213,Action,7.2,,300,,Actor B,2019
214,Movie 214,Thriller,6.2,,300,Cameron,Actor D,2021
215,Movie 215,Drama,4.1,10,300,Rajamouli,Actor B,2016
216,Movie 216,Horror,7.1,30,,,Actor D,2019
217,Movie 217,Drama,8.5,10,600,,Actor D,
218,Movie 218,Thriller,9.3,150,600,Nolan,Actor C,2022
219,Movie 219,Comedy,4.9,150,150,Cameron,Actor D,2020
220,Movie 220,Action,4.3,,80,Nolan,,2019
,Movie 221,Horror,6.5,30,,Scorsese,Actor B,2019
222,Movie 222,Action,6.1,,,Spielberg,Actor C,2018
223,Movie 223,Fantasy,6.7,10,80,Scorsese,Actor B,
224,Movie 224,Fantasy,7.8,60,300,Nolan,Actor C,2022
225,Movie 224,Horror,6.7,10,,Spielberg,Actor B,2016
226,Movie 226,Action,9.3,60,20,Scorsese,Actor D,2019
227,Movie 227,Thriller,7.3,,150,,Actor B,2020
228,Movie 228,Sci-Fi,,100,600,Scorsese,Actor E,2019
229,Movie 229,Sci-Fi,6,150,150,Rajamouli,Actor B,
230,Movie 230,Action,4.3,,80,,Actor E,2016
231,Movie 231,Horror,8,150,150,Scorsese,Actor D,2022
232,Movie 232,Horror,9.1,30,600,Nolan,Actor B,2022
233,Movie 233,Romance,9.4,60,80,Scorsese,Actor D,2017
234,Movie 234,Action,4.3,10,600,Spielberg,Actor D,2019
235,Movie 235,Horror,9.1,10,150,,Actor B,2015
236,Movie 236,Sci-Fi,9.3,10,600,Spielberg,Actor B,2021
237,Movie 237,Fantasy,8.8,30,300,Rajamouli,Actor E,2019
,Movie 238,Horror,8.5,100,80,Nolan,Actor C,2021
239,Movie 239,Action,8.3,100,300,Spielberg,Actor C,2021
240,Movie 240,Comedy,5.6,150,80,Cameron,,
241,Movie 241,Comedy,6.8,150,600,Rajamouli,Actor A,2020
242,Movie 242,Drama,8.6,10,300,Spielberg,Actor D,2015
243,Movie 243,Horror,3.5,60,600,Rajamouli,Actor A,2022
244,Movie 244,Horror,7.3,10,20,Nolan,Actor A,
245,Movie 245,Action,5.9,60,20,Rajamouli,,2019
246,Movie 246,Drama,9,60,20,Spielberg,Actor B,2017
247,Movie 247,Drama,,60,150,Tarantino,Actor A,2022
248,Movie 248,Horror,3.8,10,150,,,2019
249,Movie 249,Action,9.3,60,20,Rajamouli,,2022
250,Movie 249,Thriller,3.6,,150,Spielberg,Actor D,2021
251,Movie 251,Action,5,60,80,Rajamouli,Actor A,2015
252,Movie 252,Sci-Fi,4.9,60,300,,Actor E,2017
253,Movie 253,Drama,8.1,30,80,Tarantino,Actor C,2022
254,Movie 254,Sci-Fi,4.2,10,,Cameron,Actor E,
,Movie 255,Drama,3.7,150,20,Rajamouli,Actor D,2016
256,Movie 256,Sci-Fi,8.3,10,20,,Actor E,2018
257,Movie 257,Comedy,8.5,,600,Nolan,Actor B,2015
258,Movie 258,Fantasy,7.7,60,600,,Actor E,2019
259,Movie 259,Romance,6.9,60,,Nolan,Actor D,2017
260,Movie 260,Sci-Fi,5.1,30,300,Cameron,Actor B,2017
261,Movie 261,Horror,4.2,,,Cameron,Actor E,2021
262,Movie 262,Thriller,6.5,10,300,Tarantino,,2015
263,Movie 263,Fantasy,7.5,10,80,Tarantino,Actor E,2022
264,Movie 264,Sci-Fi,8.9,10,,,Actor A,2015
265,Movie 265,Romance,6.7,30,80,Nolan,Actor D,2021
266,Movie 266,Horror,,150,150,Scorsese,,
267,Movie 267,Thriller,3.7,150,,Rajamouli,Actor D,2016
268,Movie 268,Horror,8.5,150,150,Cameron,Actor E,2015
269,Movie 269,Fantasy,6.9,150,,Rajamouli,Actor E,2021
270,Movie 270,Horror,8.8,60,600,,,2021
271,Movie 271,Comedy,4.3,30,600,Spielberg,Actor C,2016
,Movie 272,Action,6.3,60,20,Tarantino,Actor B,2016
273,Movie 273,Horror,8.4,10,150,Cameron,Actor E,2018
274,Movie 274,Thriller,4,30,,Nolan,Actor E,2019
275,Movie 274,Action,6.8,,80,Tarantino,Actor D,2018
276,Movie 276,Romance,9.4,10,300,Cameron,Actor D,2019
277,Movie 277,Sci-Fi,8,150,,Scorsese,Actor B,2017
278,Movie 278,Comedy,4.2,10,,Cameron,Actor C,
279,Movie 279,Comedy,5.6,60,600,Scorsese,Actor D,2017
280,Movie 280,Horror,4.8,100,600,Nolan,Actor B,2018
281,Movie 281,Action,6.8,100,20,Rajamouli,Actor E,2018
282,Movie 282,Sci-Fi,6.7,30,300,Spielberg,Actor B,2016
283,Movie 283,Romance,6.3,100,20,Tarantino,Actor C,2019
284,Movie 284,Fantasy,9.4,,300,Nolan,,2022
285,Movie 285,Comedy,,150,300,Scorsese,Actor D,2017
286,Movie 286,Drama,8.6,30,,Scorsese,Actor D,
287,Movie 287,Drama,8.1,60,,Scorsese,Actor E,2016
288,Movie 288,Action,8.3,150,300,,Actor A,2021
,Movie 289,Sci-Fi,6,100,600,Nolan,,2017
290,Movie 290,Horror,7.6,10,600,Scorsese,Actor C,2016
291,Movie 291,Drama,4.4,100,20,Cameron,Actor E,2021
292,Movie 292,Sci-Fi,7,100,300,Cameron,Actor A,2016
293,Movie 293,Sci-Fi,7.5,100,150,Nolan,Actor A,2017
294,Movie 294,Action,8.5,,80,Spielberg,Actor B,2016
295,Movie 295,Action,5.6,30,600,Spielberg,,2021
296,Movie 296,Fantasy,6.7,30,300,Cameron,Actor A,2015
297,Movie 297,Thriller,8.9,10,,Scorsese,Actor D,2015
298,Movie 298,Horror,4.9,10,80,Spielberg,Actor B,
299,Movie 299,Fantasy,7.7,100,150,,Actor C,2018
300,Movie 299,Sci-Fi,7.9,,20,,Actor B,2018
301,Movie 301,Comedy,3.6,30,600,Scorsese,Actor D,2021
302,Movie 302,Romance,4.2,100,80,Cameron,Actor A,2019
303,Movie 303,Romance,6.4,100,,Rajamouli,Actor B,2015
304,Movie 304,Comedy,,60,20,Cameron,Actor B,2019
305,Movie 305,Drama,4.2,150,600,Tarantino,Actor A,2018
,Movie 306,Comedy,5.7,30,20,Scorsese,Actor A,2018
307,Movie 307,Horror,3.7,100,80,Rajamouli,Actor B,2017
308,Movie 308,Drama,4,,80,Spielberg,Actor E,2019
309,Movie 309,Romance,5.3,150,20,Spielberg,Actor D,2015
310,Movie 310,Sci-Fi,7.1,150,300,Rajamouli,Actor C,2021
311,Movie 311,Drama,4,100,,Rajamouli,Actor D,2016
312,Movie 312,Action,6.8,60,,Nolan,Actor B,
313,Movie 313,Horror,5,100,80,Tarantino,Actor B,2021
314,Movie 314,Fantasy,4,,300,Rajamouli,Actor D,2019
315,Movie 315,Fantasy,6.4,100,600,,Actor A,2021
316,Movie 316,Sci-Fi,6.4,100,300,Nolan,Actor B,2018
317,Movie 317,Horror,4.5,,150,Cameron,Actor D,2018
318,Movie 318,Fantasy,6.7,100,,Rajamouli,Actor E,
319,Movie 319,Comedy,5.3,,20,Nolan,Actor B,2019
320,Movie 320,Comedy,9.1,10,300,Tarantino,,2019
321,Movie 321,Thriller,6.2,,600,,,2016
322,Movie 322,Romance,6,100,20,Cameron,Actor D,
,Movie 323,Comedy,,150,,Tarantino,Actor E,2016
324,Movie 324,Action,7.7,30,300,Spielberg,,
325,Movie 324,Romance,5.9,60,300,Scorsese,Actor E,2018
326,Movie 326,Horror,7,30,80,Tarantino,Actor D,2022
327,Movie 327,Thriller,3.6,60,300,Nolan,Actor D,
328,Movie 328,Romance,5.1,150,80,Spielberg,Actor D,2016
329,Movie 329,Comedy,3.7,100,80,Tarantino,Actor C,2021
330,Movie 330,Drama,8.4,,20,Rajamouli,Actor E,2016
331,Movie 331,Thriller,5.5,150,20,,Actor C,2018
332,Movie 332,Drama,4.8,10,150,Nolan,,2020
333,Movie 333,Drama,4.2,100,20,Cameron,Actor C,2020
334,Movie 334,Drama,9.4,100,,Spielberg,,2015
335,Movie 335,Thriller,5.3,10,150,,,2016
336,Movie 336,Horror,9.2,150,600,Rajamouli,Actor A,2019
337,Movie 337,Romance,5.7,10,150,Nolan,Actor A,
338,Movie 338,Horror,4.6,30,600,Scorsese,Actor E,2021
339,Movie 339,Drama,3.5,10,600,Cameron,,2015
,Movie 340,Comedy,4.2,,,Nolan,Actor D,
341,Movie 341,Comedy,7.5,,,,Actor C,2018
342,Movie 342,Comedy,,100,80,Cameron,Actor A,2020
343,Movie 343,Horror,6.1,60,,Tarantino,Actor B,2018
344,Movie 344,Thriller,4,150,20,Nolan,Actor A,2016
345,Movie 345,Action,4.1,30,300,,Actor A,2020
346,Movie 346,Fantasy,7.5,10,150,Spielberg,Actor E,2015
347,Movie 347,Comedy,6.3,30,20,,Actor A,2020
348,Movie 348,Thriller,7.4,,300,Scorsese,Actor A,2015
349,Movie 349,Fantasy,7.6,150,150,Cameron,Actor E,2016
350,Movie 349,Action,4.9,10,150,Nolan,Actor E,2019
351,Movie 351,Comedy,7.8,30,,Nolan,Actor C,2021
352,Movie 352,Thriller,6.5,60,600,Cameron,Actor E,
353,Movie 353,Thriller,4,60,600,Rajamouli,Actor B,2021
354,Movie 354,Romance,4,100,150,Nolan,Actor C,2022
355,Movie 355,Comedy,7.5,,600,Scorsese,Actor B,2022
356,Movie 356,Fantasy,8,60,600,Spielberg,Actor B,2018
,Movie 357,Romance,5,60,20,Spielberg,Actor E,2016
358,Movie 358,Sci-Fi,6.3,150,150,Cameron,Actor A,2015
359,Movie 359,Sci-Fi,5.3,100,,Scorsese,Actor D,2015
360,Movie 360,Fantasy,8.4,100,300,Nolan,,2022
361,Movie 361,Horror,,60,20,Scorsese,,2021
362,Movie 362,Thriller,6.3,30,600,Tarantino,Actor C,2019
363,Movie 363,Fantasy,9.3,150,20,Rajamouli,Actor E,2020
364,Movie 364,Horror,6,30,300,Scorsese,Actor B,2016
365,Movie 365,Horror,8.6,,,Spielberg,Actor C,2018
366,Movie 366,Romance,6.2,30,20,Spielberg,Actor A,2020
367,Movie 367,Comedy,3.9,10,600,,Actor B,2021
368,Movie 368,Action,5.3,,80,Tarantino,Actor D,2017
369,Movie 369,Comedy,8,,20,,Actor D,
370,Movie 370,Thriller,5,100,,Scorsese,Actor A,2018
371,Movie 371,Sci-Fi,6.3,10,600,Spielberg,Actor B,2017
372,Movie 372,Romance,9.4,100,,Scorsese,Actor E,2019
373,Movie 373,Horror,8.8,100,20,,Actor E,2016
,Movie 374,Horror,5.3,60,20,Scorsese,Actor E,
375,Movie 374,Sci-Fi,7.6,100,20,Rajamouli,Actor C,2022
376,Movie 376,Sci-Fi,4.5,10,80,Scorsese,Actor D,2020
377,Movie 377,Action,6.1,60,80,Nolan,Actor B,2016
378,Movie 378,Sci-Fi,4.7,100,300,Spielberg,Actor C,2018
379,Movie 379,Thriller,3.7,30,,,Actor D,2017
380,Movie 380,Comedy,,150,300,Rajamouli,Actor D,2020
381,Movie 381,Comedy,7.4,30,600,,Actor D,2015
382,Movie 382,Drama,5.3,,,Spielberg,,2022
383,Movie 383,Horror,5.4,10,20,Tarantino,Actor E,2022
384,Movie 384,Fantasy,6.5,60,150,,Actor A,2021
385,Movie 385,Horror,4.9,10,,Spielberg,Actor A,2015
386,Movie 386,Fantasy,3.9,10,150,Spielberg,Actor D,2020
387,Movie 387,Action,6.2,150,600,Nolan,Actor A,2020
388,Movie 388,Sci-Fi,8.2,,300,,Actor D,2016
389,Movie 389,Sci-Fi,3.8,,,Rajamouli,Actor C,2020
390,Movie 390,Thriller,4.9,60,150,Scorsese,Actor D,2016
,Movie 391,Horror,9.3,10,300,Cameron,,2017
392,Movie 392,Sci-Fi,6.9,150,80,Nolan,Actor E,
393,Movie 393,Fantasy,4.1,10,150,,Actor B,2020
394,Movie 394,Comedy,4.7,,20,Nolan,Actor C,2017
395,Movie 395,Horror,4.4,150,,,Actor A,2022
396,Movie 396,Drama,4.5,,80,Rajamouli,Actor B,2015
397,Movie 397,Action,7.1,60,80,Tarantino,Actor E,2022
398,Movie 398,Fantasy,4,100,20,Rajamouli,Actor C,2020
399,Movie 399,Fantasy,,150,300,Tarantino,Actor B,2020
400,Movie 399,Action,3.7,100,300,Rajamouli,Actor D,2018
401,Movie 401,Drama,9,10,80,Spielberg,Actor A,2021
402,Movie 402,Comedy,6.4,,80,Cameron,Actor B,2020
403,Movie 403,Action,5.7,,600,Rajamouli,,2016
404,Movie 404,Sci-Fi,5.4,60,,Nolan,,2018
405,Movie 405,Comedy,4.6,100,20,,Actor B,2016
406,Movie 406,Romance,7.7,30,600,Cameron,Actor A,2015
407,Movie 407,Sci-Fi,6.8,150,20,Tarantino,,2017
,Movie 408,Action,6.9,10,600,,Actor C,2020
409,Movie 409,Comedy,8.6,60,80,,Actor B,2015
410,Movie 410,Fantasy,5.1,,600,Tarantino,Actor C,2018
411,Movie 411,Comedy,5.4,10,20,Nolan,,2020
412,Movie 412,Thriller,4.3,30,20,,Actor A,2018
413,Movie 413,Fantasy,7.7,60,300,Cameron,Actor E,2020
414,Movie 414,Drama,8.7,,600,Cameron,Actor B,2020
415,Movie 415,Fantasy,4.9,60,80,,,2016
416,Movie 416,Drama,8.4,100,80,Rajamouli,,2017
417,Movie 417,Horror,9.1,150,20,Cameron,Actor E,2018
418,Movie 418,Sci-Fi,,150,600,Cameron,Actor A,2019
419,Movie 419,Fantasy,6.5,10,150,Tarantino,Actor B,2017
420,Movie 420,Horror,7.8,30,80,Scorsese,Actor D,
421,Movie 421,Thriller,7.7,60,600,Cameron,Actor B,2016
422,Movie 422,Action,6.6,10,,Cameron,Actor E,2019
423,Movie 423,Thriller,3.7,60,300,Scorsese,Actor C,2017
424,Movie 424,Thriller,4.1,60,600,Cameron,,2020
,Movie 424,Drama,4.4,150,150,Rajamouli,Actor C,2016
426,Movie 426,Romance,6.8,60,80,Scorsese,Actor D,2017
427,Movie 427,Drama,5.2,,80,Rajamouli,Actor D,2020
428,Movie 428,Romance,8.7,,600,Nolan,Actor E,2018
429,Movie 429,Thriller,6.5,,600,,,2020
